epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4714.21,1.0138,3.57744,1.51047,0,0,0,0,0,365.136,0,3.15635e-05,3.15635e-05,3.15635e-05
2,9175.53,0.82996,1.71142,1.33032,0,0,0,0,0,215.728,0,6.19782e-05,6.19782e-05,6.19782e-05
